====================================================================================================
🔍 比对 ufbook 和 uf2zhihu 中的图片
====================================================================================================

📋 扫描 ufbook/docs 中的图片...
[301/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\138_plus0.0s.png
[302/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\139_plus0.0s.png
[303/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\140_plus0.0s.png
[304/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\143_plus0.0s.png
[305/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\150_plus0.0s.png
[306/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\160_plus0.0s.png
[307/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\161_plus0.0s.png
[308/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\170_plus0.0s.png
[309/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\171_plus0.0s.png
[310/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\172_plus0.0s.png
[311/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\176_plus0.0s.png
[312/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\177_plus0.0s.png
[313/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\179_plus0.0s.png
[314/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\184_plus0.0s.png
[315/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\188_plus0.0s.png
[316/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\193_plus0.0s.png
[317/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\194_plus0.0s.png
[318/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\196_plus0.0s.png
[319/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\204_plus0.0s.png
[320/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\211_plus0.0s.png
[321/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\215_plus0.0s.png
[322/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\217_plus0.0s.png
[323/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\218_plus0.0s.png
[324/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\223_plus0.0s.png
[325/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\225_plus0.0s.png
[326/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\227_plus0.0s.png
[327/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\233_plus0.0s.png
[328/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\234_plus0.0s.png
[329/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\247_plus0.0s.png
[330/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\248_plus0.0s.png
[331/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\249_plus0.0s.png
[332/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\254_plus0.0s.png
[333/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\257_plus0.0s.png
[334/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\258_plus0.0s.png
[335/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\259_plus0.0s.png
[336/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\261_plus0.0s.png
[337/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\263_plus0.0s.png
[338/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\265_plus0.0s.png
[339/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\266_plus0.0s.png
[340/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\267_plus0.0s.png
[341/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\269_plus0.0s.png
[342/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\271_plus0.0s.png
[343/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\272_plus0.0s.png
[344/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\275_plus0.0s.png
[345/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\276_plus0.0s.png
[346/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\277_plus0.0s.png
[347/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\280_plus0.0s.png
[348/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\293_plus0.0s.png
[349/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\296_plus0.0s.png
[350/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\306_plus0.0s.png
[351/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\307_plus0.0s.png
[352/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\308_plus0.0s.png
[353/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\310_plus0.0s.png
[354/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\311_plus0.0s.png
[355/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\314_plus0.0s.png
[356/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\316_plus0.0s.png
[357/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\317_plus0.0s.png
[358/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\318_plus0.0s.png
[359/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\319_plus0.0s.png
[360/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\320_plus0.0s.png
[361/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\322_plus0.0s.png
[362/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\323_plus0.0s.png
[363/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\324_plus0.0s.png
[364/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\325_plus0.0s.png
[365/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\326_plus0.0s.png
[366/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\328_plus0.0s.png
[367/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\329_plus0.0s.png
[368/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\331_plus0.0s.png
[369/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\332_plus0.0s.png
[370/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\333_plus0.0s.png
[371/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\334_plus0.0s.png
[372/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\335_plus0.0s.png
[373/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\336_plus0.0s.png
[374/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\337_plus0.0s.png
[375/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\338_plus0.0s.png
[376/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\339_plus0.0s.png
[377/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\346_plus0.0s.png
[378/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\349_plus0.0s.png
[379/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\350_plus0.0s.png
[380/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\352_plus0.0s.png
[381/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\353_plus0.0s.png
[382/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\354_plus0.0s.png
[383/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\355_plus0.0s.png
[384/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\356_plus0.0s.png
[385/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\357_plus0.0s.png
[386/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\358_plus0.0s.png
[387/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\359_plus0.0s.png
[388/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\360_plus0.0s.png
[389/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\361_plus0.0s.png
[390/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\362_plus0.0s.png
[391/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\363_plus0.0s.png
[392/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\364_plus0.0s.png
[393/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\365_plus0.0s.png
[394/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\366_plus0.0s.png
[395/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\367_plus0.0s.png
[396/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\368_plus0.0s.png
[397/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\369_plus0.0s.png
[398/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\370_plus0.0s.png
[399/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\371_plus0.0s.png
[400/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\372_plus0.0s.png
[401/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\373_plus0.0s.png
[402/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\374_plus0.0s.png
[403/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\375_plus0.0s.png
[404/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\376_plus0.0s.png
[405/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\377_plus0.0s.png
[406/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\378_plus0.0s.png
[407/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\379_plus0.0s.png
[408/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\380_plus0.0s.png
[409/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\381_plus0.0s.png
[410/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\382_plus0.0s.png
[411/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\383_plus0.0s.png
[412/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\384_plus0.0s.png
[413/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\385_plus0.0s.png
[414/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\386_plus0.0s.png
[415/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\387_plus0.0s.png
[416/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\388_plus0.0s.png
[417/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\389_plus0.0s.png
[418/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\390_plus0.0s.png
[419/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\391_plus0.0s.png
[420/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\392_plus0.0s.png
[421/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\393_plus0.0s.png
[422/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\394_plus0.0s.png
[423/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\395_plus0.0s.png
[424/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\396_plus0.0s.png
[425/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\397_plus0.0s.png
[426/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\398_plus0.0s.png
[427/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\400_plus0.0s.png
[428/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\401_plus0.0s.png
[429/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\402_plus0.0s.png
[430/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\403_plus0.0s.png
[431/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\404_plus0.0s.png
[432/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\407_plus0.0s.png
[433/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\408_plus0.0s.png
[434/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\409_plus0.0s.png
[435/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\418_plus0.0s.png
[436/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\419_plus0.0s.png
[437/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\420_plus0.0s.png
[438/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\422_plus0.0s.png
[439/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\424_plus0.0s.png
[440/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\425_plus0.0s.png
[441/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\427_plus0.0s.png
[442/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\428_plus0.0s.png
[443/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\434_plus0.0s.png
[444/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\435_plus0.0s.png
[445/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\445_plus0.0s.png
[446/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\450_plus0.0s.png
[447/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\455_plus0.0s.png
[448/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\456_plus0.0s.png
[449/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\457_plus0.0s.png
[450/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\458_plus0.0s.png
[451/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\459_plus0.0s.png
[452/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\461_plus0.0s.png
[453/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\463_plus0.0s.png
[454/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\465_plus0.0s.png
[455/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\474_plus0.0s.png
[456/5231] ✅ 相同: ecosystem\bfa-teaching-innovation\Screenshots\483_plus0.0s.png
[457/5231] ❌ 未找到源: ecosystem\bfa-teaching-innovation\UE5_Contact.png
[458/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\001_plus0.0s.png
[459/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\002_plus0.0s.png
[460/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\003_plus0.0s.png
[461/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\004_plus0.0s.png
[462/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\006_plus0.0s.png
[463/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\007_plus0.0s.png
[464/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\008_plus0.0s.png
[465/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\009_plus0.0s.png
[466/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\019_plus0.0s.png
[467/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\025_plus0.0s.png
[468/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\027_plus0.0s.png
[469/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\030_plus0.0s.png
[470/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\033_plus0.0s.png
[471/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\035_plus0.0s.png
[472/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\036_plus0.0s.png
[473/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\054_plus0.0s.png
[474/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\056_plus0.0s.png
[475/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\060_plus0.0s.png
[476/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\064_plus0.0s.png
[477/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\065_plus0.0s.png
[478/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\066_plus0.0s.png
[479/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\067_plus0.0s.png
[480/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\069_plus0.0s.png
[481/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\082_plus0.0s.png
[482/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\088_plus0.0s.png
[483/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\098_plus0.0s.png
[484/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\099_plus0.0s.png
[485/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\100_plus0.0s.png
[486/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\112_plus0.0s.png
[487/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\113_plus0.0s.png
[488/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\114_plus0.0s.png
[489/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\115_plus0.0s.png
[490/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\118_plus0.0s.png
[491/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\119_plus0.0s.png
[492/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\126_plus0.0s.png
[493/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\130_plus0.0s.png
[494/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\132_plus0.0s.png
[495/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\140_plus0.0s.png
[496/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\141_plus0.0s.png
[497/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\142_plus0.0s.png
[498/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\144_plus0.0s.png
[499/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\150_plus0.0s.png
[500/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\157_plus0.0s.png
[501/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\164_plus0.0s.png
[502/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\175_plus0.0s.png
[503/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\178_plus0.0s.png
[504/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\179_plus0.0s.png
[505/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\191_plus0.0s.png
[506/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\192_plus0.0s.png
[507/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\202_plus0.0s.png
[508/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\204_plus0.0s.png
[509/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\219_plus0.0s.png
[510/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\221_plus0.0s.png
[511/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\223_plus0.0s.png
[512/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\227_plus0.0s.png
[513/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\232_plus0.0s.png
[514/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\233_plus0.0s.png
[515/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\234_plus0.0s.png
[516/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\236_plus0.0s.png
[517/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\237_plus0.0s.png
[518/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\239_plus0.0s.png
[519/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\240_plus0.0s.png
[520/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\253_plus0.0s.png
[521/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\258_plus0.0s.png
[522/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\261_plus0.0s.png
[523/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\262_plus0.0s.png
[524/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\265_plus0.0s.png
[525/5231] ✅ 相同: ecosystem\education-summit-keynote\Screenshots\267_plus0.0s.png
